,rank,link,rankChange,title,isNetflixOriginal,points,change,countriesCnt,totalCountries,days,totalDays,total
77,78,https://flixpatrol.com/title/turning-point-911-and-the-war-on-terror/,n/a,Turning Point: 9/11 and the War on Terror,Netflix original title,5915,None,70,85,25,237,5915
78,79,https://flixpatrol.com/title/kastanjemanden/,n/a,Kastanjemanden,Netflix original title,5834,None,56,104,88,66,5834
79,80,https://flixpatrol.com/title/formula-1-drive-to-survive/,n/a,Formula 1: Drive to Survive,Netflix original title,5818,None,70,83,49,119,5818
80,81,https://flixpatrol.com/title/madre-solo-hay-dos/,n/a,Madre solo hay dos,Netflix original title,5682,None,34,167,55,103,5682
81,82,https://flixpatrol.com/title/chilling-adventures-of-sabrina/,n/a,Chilling Adventures of Sabrina,Netflix original title,5664,None,76,75,21,270,5664
82,83,https://flixpatrol.com/title/sisyphus-the-myth/,n/a,Sisyphus: The Myth,Netflix original title,5633,None,32,176,90,63,5633
83,84,https://flixpatrol.com/title/the-crown/,n/a,The Crown,Netflix original title,5607,None,53,106,145,39,5607
84,85,https://flixpatrol.com/title/luis-miguel-the-series/,n/a,Luis Miguel: The Series,Netflix original title,5345,None,18,297,77,69,5345
85,86,https://flixpatrol.com/title/alrawabi-school-for-girls/,n/a,AlRawabi School for Girls,Netflix original title,5259,None,36,146,62,85,5259
86,87,https://flixpatrol.com/title/superstore/,n/a,Superstore,The general title,5239,None,33,159,184,28,5239
87,88,https://flixpatrol.com/title/gabbys-dollhouse/,n/a,Gabby's Dollhouse,Netflix original title,5208,None,53,98,202,26,5208
88,89,https://flixpatrol.com/title/the-office-2005/,n/a,The Office,The general title,5025,None,32,157,189,27,5025
89,90,https://flixpatrol.com/title/falsa-identidad/,n/a,Falsa Identidad,The general title,4965,None,19,261,166,30,4965
90,91,https://flixpatrol.com/title/true-story-2021/,n/a,True Story,Netflix original title,4907,None,76,65,26,189,4907
91,92,https://flixpatrol.com/title/cowboy-bebop-2021/,n/a,Cowboy Bebop,Netflix original title,4871,None,74,66,24,203,4871
92,93,https://flixpatrol.com/title/midnight-mass/,n/a,Midnight Mass,Netflix original title,4860,None,79,62,31,157,4860
93,94,https://flixpatrol.com/title/the-100/,n/a,The 100,The general title,4783,None,49,98,177,27,4783
94,95,https://flixpatrol.com/title/love-death-robots/,n/a,"Love, Death & Robots",Netflix original title,4588,None,81,57,57,80,4588
95,96,https://flixpatrol.com/title/tribes-of-europa/,n/a,Tribes of Europa,Netflix original title,4546,None,80,57,24,189,4546
96,97,https://flixpatrol.com/title/the-uncanny-counter/,n/a,The Uncanny Counter,The general title,4300,None,21,205,82,52,4300
97,98,https://flixpatrol.com/title/pokemon-journeys/,n/a,Pokémon Journeys,Netflix original title,4185,None,62,68,85,49,4185
98,99,https://flixpatrol.com/title/attack-on-titan/,n/a,Attack on Titan,The general title,3997,None,11,363,141,28,3997
99,100,https://flixpatrol.com/title/selling-sunset/,n/a,Selling Sunset,Netflix original title,3919,None,58,68,29,135,3919
100,101,https://flixpatrol.com/title/age-of-samurai-battle-for-japan/,n/a,Age of Samurai: Battle for Japan,Netflix original title,3850,None,81,48,16,241,3850
101,102,https://flixpatrol.com/title/atypical/,n/a,Atypical,Netflix original title,3813,None,71,54,25,153,3813
102,103,https://flixpatrol.com/title/mine/,n/a,Mine,The general title,3732,None,26,144,94,40,3732
103,104,https://flixpatrol.com/title/record-of-ragnarok/,n/a,Record of Ragnarok,Netflix original title,3707,None,76,49,25,148,3707
104,105,https://flixpatrol.com/title/tale-of-the-nine-tailed/,n/a,Tale of the Nine Tailed,The general title,3580,None,21,170,59,61,3580
105,106,https://flixpatrol.com/title/law-school/,n/a,Law School,Netflix original title,3532,None,16,221,74,48,3532
106,107,https://flixpatrol.com/title/modern-family/,n/a,Modern Family,The general title,3525,None,46,77,227,16,3525
107,108,https://flixpatrol.com/title/maya-and-the-three/,n/a,Maya and the Three,Netflix original title,3491,None,78,45,29,120,3491
108,109,https://flixpatrol.com/title/the-seven-deadly-sins/,n/a,The Seven Deadly Sins,Netflix original title,3451,None,69,50,109,32,3451
109,110,https://flixpatrol.com/title/katla/,n/a,Katla,Netflix original title,3448,None,66,52,47,73,3448
110,111,https://flixpatrol.com/title/disenchantment/,n/a,Disenchantment,Netflix original title,3383,None,64,53,28,121,3383
111,112,https://flixpatrol.com/title/resurrection-ertugrul/,n/a,Resurrection: Ertugrul,The general title,3187,None,8,398,311,10,3187
112,113,https://flixpatrol.com/title/my-hero-academia/,n/a,My Hero Academia,The general title,3017,None,23,131,209,14,3017
113,114,https://flixpatrol.com/title/jujutsu-kaisen/,n/a,Jujutsu Kaisen,The general title,3013,None,12,251,235,13,3013
114,115,https://flixpatrol.com/title/miraculous-tales-of-ladybug-cat-noir/,n/a,Miraculous: Tales of Ladybug & Cat Noir,The general title,2961,None,38,78,144,21,2961
